Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1962 [YR1962],1964 [YR1964],1966 [YR1966],1968 [YR1968],1970 [YR1970],1972 [YR1972],1974 [YR1974],1976 [YR1976],1978 [YR1978],1980 [YR1980],1982 [YR1982],1984 [YR1984],1986 [YR1986],1988 [YR1988],1990 [YR1990],1992 [YR1992],1994 [YR1994],1996 [YR1996],1998 [YR1998],2000 [YR2000],2002 [YR2002],2004 [YR2004],2006 [YR2006],2008 [YR2008],2010 [YR2010],2012 [YR2012],2014 [YR2014],2016 [YR2016]
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1255802469.1358,2786045321.63743,4116699437.4041,5505887894.48893,6651106833.49374,10596205714.2857,12864610993.5219,19112739664.4697,17176781336.7644,17226849297.07,18558343508.3435,16913330693.9653
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,319.012792020937,740.099686468862,1102.39068809628,1467.77647716048,1769.19888670572,2814.9998948741,3416.51241043418,5090.94590505821,4635.51027337483,4778.63608845506,5329.63198373154,4994.68904038619
Bosnia and Herzegovina,BIH,Population growth (annual %),SP.POP.GROW,..,1.94603053590115,1.78139586992667,1.43209760036468,1.17049126704904,1.15165570537989,1.19814312373202,1.14707845426278,1.00280752247721,0.910566816455332,0.986560412928966,1.00626910784096,0.985378026151561,0.99207207819048,0.666285105695164,-0.989770811954186,-3.15374527940881,-3.55382882359574,-1.70229362133797,-0.0463696234806419,0.208765696717053,0.103128419446988,0.0535450488075259,0.00239019890982009,-0.226950769031907,-0.818853335966774,-1.54695841535682,-1.72230731218996,-1.26472845809142
Bosnia and Herzegovina,BIH,Population density (people per sq. km of land area),EN.POP.DNST,..,65.492734375,67.94919921875,70.0513671875,71.78609375,73.44796875,75.21783203125,76.99650390625,78.61857421875,80.08505859375,81.6376953125,83.30435546875,84.9719921875,86.63916015625,88.0754296875,87.1762109375,82.68892578125,76.88529296875,73.52380859375,72.9362890625,73.26515625,73.42556640625,73.5194140625,73.5433984375,73.32541015625,72.3726171875,70.409609375,68.0098828125,66.13794921875
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3225664,3353228,3478999,3586630,3675448,3760536,3851153,3942221,4025271,4100355,4179850,4265183,4350566,4435925,4509462,4463422,4233673,3936527,3764419,3734338,3751176,3759389,3764194,3765422,3754261,3705478,3604972,3482106,3386263
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,30412308.9864012,35643207.6265246,41613969.0506064,51464435.1464435,66248256.6248257,96245114.4611949,164466873.706004,306033848.417954,372010119.595216,590376720.598889,1060923829.13021,1014907254.54016,1240796364.75662,1392634771.9653,2644536804.11244,3790567051.86778,4146513722.33019,4259330999.03151,4847752842.78924,4790458837.17078,5788329609.15755,5438857106.73536,8957467706.5354,10137883299.3156,10945070441.9283,12786654498.3514,14380004175.1194,16250781586.6579,15646354089.458
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,60.4939579983833,68.0503489586687,75.9559184671664,89.9795529147183,110.97864233084,153.32637867117,246.541537808657,428.198433216064,483.141319661,709.189337954404,1181.61386979063,1054.05594644715,1202.97600222274,1253.55531668926,2203.64661492462,2945.83203953801,3040.98939623392,2970.11842524935,3221.68905579312,3039.96494359519,3522.3108214571,3190.62481146154,5073.52040802149,5521.99060810445,5713.54393106428,6434.81248526822,7050.57347186681,7780.63475753974,7243.93397430839
Botswana,BWA,Population growth (annual %),SP.POP.GROW,..,2.13985482048241,2.24786634842,2.11341728823125,2.17578800710622,2.6501719274388,3.15928108650029,3.53089169865838,3.78996850637866,3.91170747758829,3.72002577091957,3.42794848328639,3.48384457564347,3.79429821085727,3.83651646407754,3.34033362763288,2.76760486104078,2.46739594434588,2.39098352324627,2.27225106307637,2.03308399053272,1.77336653734728,1.77985909527579,2.0267060468961,2.11967861163802,1.70592328995544,1.19090216555368,1.25595158309984,1.83197313579572
Botswana,BWA,Population density (people per sq. km of land area),EN.POP.DNST,..,0.924209058987525,0.966721366435516,1.00922308683147,1.05331639405008,1.10760679688741,1.17709667743017,1.26109611278739,1.35863991671519,1.46889524112011,1.58428175674483,1.69897305595257,1.81998306071674,1.96027738076333,2.11753921620525,2.27049212146878,2.40597991989131,2.53041307148025,2.65509854780936,2.78056040795441,2.89967533040425,3.00784677006687,3.1152982901911,3.23948088154853,3.38015633546839,3.50626577029626,3.59880542762868,3.68538633917386,3.81120639457943
Botswana,BWA,"Population, total",SP.POP.TOTL,502733,523777,547870,571957,596946,627714,667096,714701,769982,832467,897860,962859,1031439,1110948,1200073,1286756,1363541,1434061,1504724,1575827,1643333,1704637,1765533,1835911,1915636,1987106,2039551,2088619,2159925
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
