Year,Country,Medal,Medal_Sum
1960,YUG,17,95
1960,TPE,1,1
1960,DEN,23,314
1960,NOR,2,369
1960,FIN,6,378
1960,MAR,1,1
1964,NED,30,334
1964,YUG,15,110
1964,BUL,10,36
1964,TCH,55,186
1964,EUA,115,260
1964,IRI,2,19
1964,FIN,5,383
1964,ITA,50,685
1964,IND,15,127
1964,GHA,1,2
1964,DEN,12,326
1964,MEX,1,32
1964,SUI,6,276
1964,BRA,12,48
1964,PAK,16,44
1964,ROU,16,79
1964,KEN,1,1
1964,ETH,1,2
1964,USA,150,2039
1964,BAH,2,4
1964,URU,1,75
1964,HUN,56,523
1964,BEL,3,362
1964,URS,174,629
1964,JPN,64,193
1964,CUB,1,14
1964,KOR,3,9
1964,NGR,1,1
1964,TUR,6,39
1964,PHI,1,6
1964,ARG,1,83
1964,TRI,6,9
1964,AUS,42,208
1964,IRL,1,10
1964,POL,48,153
1964,NZL,6,21
1964,CAN,5,268
1964,SWE,15,798
1964,FRA,31,816
1964,GBR,28,1080
1964,TUN,2,2
1968,FRA,27,843
1968,FRG,49,49
1968,ARG,2,85
1968,BRA,4,52
1968,CUB,10,24
1968,TUN,2,4
1968,BEL,3,365
1968,GRE,1,69
1968,SUI,13,289
1968,ROU,23,102
1968,AUS,49,257
1968,HUN,81,604
1968,KEN,12,13
1968,USA,149,2188
1968,ETH,2,4
1968,NZL,7,28
1968,JAM,1,12
1968,PAK,13,57
1968,KOR,2,11
1968,YUG,29,139
1968,POL,37,190
1968,DEN,16,342
1968,MGL,4,4
1968,NOR,6,375
1968,JPN,67,260
1968,GBR,18,1098
1968,TPE,1,2
1968,IRI,5,24
1968,FIN,4,387
1968,GDR,51,51
1968,CAN,10,278
1968,AUT,5,109
1968,SWE,9,807
1968,NED,14,348
1968,UGA,2,2
1968,ITA,32,717
1968,MEX,9,41
1968,TUR,2,41
1968,IND,15,142
1968,BUL,26,62
1968,URS,188,817
1968,VEN,1,3
1968,TCH,29,215
1968,CMR,1,1
1972,MGL,1,5
1972,IRI,3,27
1972,ESP,1,49
1972,HUN,81,685
1972,NOR,8,383
1972,CUB,22,46
1972,DEN,1,343
1972,AUT,3,112
1972,PRK,15,15
1972,YUG,18,157
1972,KOR,1,12
1972,MEX,1,42
1972,SWE,21,828
1972,USA,155,2343
1972,AUS,20,277
1972,IND,14,156
1972,ITA,25,742
1972,POL,46,236
1972,TUN,1,5
1972,BEL,2,367
1972,GHA,1,3
1972,BUL,22,84
1972,TCH,29,244
1972,UGA,2,4
1972,KEN,12,25
1972,LIB,1,3
1972,COL,3,3
1972,GDR,148,199
1972,FIN,10,397
1972,JPN,56,316
1972,GBR,29,1127
1972,NGR,1,2
1972,CAN,10,288
1972,NED,6,354
1972,TUR,1,42
1972,ARG,1,86
1972,FRG,96,145
1972,NZL,14,42
1972,FRA,22,865
1972,ROU,40,142
1972,URS,211,1028
1972,NIG,1,1
1972,BRA,2,54
1972,GRE,2,71
1972,JAM,1,13
1972,ETH,2,6
1972,PAK,15,72
1972,SUI,8,297
1976,AUT,1,113
1976,PUR,1,2
1976,KOR,17,29
1976,CAN,20,308
1976,CUB,24,70
1976,NED,15,369
1976,SWE,10,838
1976,SUI,10,307
1976,JAM,2,15
1976,BRA,3,57
1976,MEX,2,44
1976,MGL,1,6
1976,FRG,75,220
1976,HUN,55,740
1976,AUS,24,301
1976,NZL,27,69
1976,TRI,1,10
1976,FRA,20,885
1976,BEL,9,376
1976,VEN,1,4
1976,JPN,41,357
1976,NOR,6,389
1976,PRK,2,17
1976,URS,285,1313
1976,USA,155,2498
1976,ITA,31,773
1976,ROU,55,197
1976,BUL,39,123
1976,TCH,15,259
1976,ESP,6,55
1976,DEN,8,351
1976,POL,73,309
1976,THA,1,1
1976,YUG,19,176
1976,BER,1,1
1976,FIN,6,403
1976,IRI,2,29
1976,PAK,16,88
1976,GBR,32,1159
1976,POR,2,17
1976,GDR,192,391
1980,MEX,12,56
1980,LIB,1,4
1980,ITA,37,810
1980,ZIM,16,16
1980,NED,6,375
1980,JAM,3,18
1980,MGL,4,10
1980,GBR,45,1204
1980,HUN,61,801
1980,YUG,57,233
1980,DEN,8,359
1980,GUY,1,1
1980,BRA,9,66
1980,GRE,5,76
1980,URS,442,1755
1980,GDR,260,651
1980,BUL,94,217
1980,UGA,1,5
1980,SWE,18,856
1980,FRA,29,914
1980,FIN,9,412
1980,ETH,4,10
1980,SUI,2,309
1980,BEL,1,377
1980,PRK,5,22
1980,ROU,72,269
1980,ESP,24,79
1980,IND,16,172
1980,POL,50,359
1980,TCH,52,311
1980,IRL,3,13
1980,CUB,20,90
1980,TAN,2,2
1980,AUT,5,118
1980,VEN,1,5
1980,AUS,12,313
1984,TUR,3,45
1984,NZL,23,92
1984,KOR,42,71
1984,FRA,68,982
1984,ISL,1,2
1984,TPE,1,3
1984,FIN,12,424
1984,SUI,15,324
1984,CAN,86,394
1984,KEN,3,28
1984,MAR,2,3
1984,CHN,76,76
1984,DOM,1,1
1984,CIV,1,1
1984,NED,40,415
1984,EGY,1,18
1984,CMR,1,2
1984,NGR,5,7
1984,NOR,4,393
1984,ZAM,1,1
1984,AUS,50,363
1984,FRG,157,377
1984,AUT,3,121
1984,JPN,49,406
1984,ALG,2,2
1984,USA,333,2831
1984,ITA,63,873
1984,YUG,87,320
1984,POR,3,20
1984,PUR,2,4
1984,JAM,6,24
1984,BEL,5,382
1984,PAK,16,104
1984,MEX,6,62
1984,COL,1,4
1984,DEN,15,374
1984,GRE,2,78
1984,VEN,3,8
1984,ESP,19,98
1984,ROU,106,375
1984,BRA,37,103
1984,SWE,32,888
1984,GBR,72,1276
1984,THA,1,2
1984,PER,1,2
1984,SYR,1,1
1984,IRL,1,14
1988,COL,1,5
1988,THA,1,3
1988,ISV,1,1
1988,CHN,53,129
1988,MGL,1,11
1988,AHO,1,1
1988,AUS,34,397
1988,MEX,2,64
1988,AUT,1,122
1988,USA,193,3024
1988,NED,44,459
1988,BEL,2,384
1988,BRA,28,131
1988,BUL,41,258
1988,TUR,2,47
1988,CAN,21,415
1988,CHI,1,10
1988,MAR,3,6
1988,URS,294,2049
1988,CRC,1,1
1988,ESP,5,103
1988,TCH,10,321
1988,JPN,20,426
1988,FRG,113,490
1988,GBR,53,1329
1988,GDR,174,825
1988,ROU,51,426
1988,GRE,1,79
1988,JAM,5,29
1988,HUN,44,845
1988,PAK,1,105
1988,POR,1,21
1988,INA,3,3
1988,ITA,29,902
1988,YUG,63,383
1988,POL,21,380
1988,IRI,1,30
1988,PHI,1,7
1988,PER,12,14
1988,NZL,24,116
1988,SEN,1,1
1988,FRA,29,1011
1988,FIN,4,428
1988,KOR,77,148
1988,DEN,7,381
1988,ARG,13,99
1988,DJI,1,1
1988,SUR,1,1
1988,NOR,23,416
1988,SWE,16,904
1988,SUI,8,332
1988,KEN,9,37
1992,PHI,1,8
1992,PER,1,15
1992,THA,1,4
1992,NGR,11,18
1992,POL,42,422
1992,SWE,35,939
1992,MGL,2,13
1992,NAM,2,2
1992,TPE,20,23
1992,USA,224,3248
1992,SLO,6,6
1992,PRK,10,32
1992,NOR,23,439
1992,NED,33,492
1992,PUR,1,5
1992,QAT,1,1
1992,SUR,1,2
1992,ROU,53,479
1992,TCH,8,329
1992,SUI,1,333
1992,TUR,6,53
1992,NZL,15,131
1992,PAK,16,121
1992,RSA,3,76
1992,ITA,46,948
1992,LTU,13,13
1992,BUL,17,275
1992,BAH,1,5
1992,IOP,3,3
1992,IRI,3,33
1992,GBR,50,1379
1992,HUN,45,890
1992,DEN,14,395
1992,IRL,2,16
1992,ISR,2,2
1992,LAT,3,6
1992,ESP,66,169
1992,AUS,57,454
1992,KOR,49,197
1992,JAM,4,33
1992,CHN,83,212
1992,CAN,44,459
1992,JPN,47,473
1992,EST,3,28
1992,ETH,3,13
1992,KEN,8,45
1992,AUT,6,128
1992,FRA,57,1068
1992,EUN,223,223
1992,ARG,2,101
1992,MAR,3,9
1992,FIN,7,435
1992,ALG,2,4
1992,COL,1,6
1992,GER,198,718
1992,GRE,2,81
1992,CRO,15,15
1992,MAS,2,2
1992,MEX,1,65
1992,GHA,13,16
1992,BRA,14,145
1992,CUB,71,161
1992,INA,6,9
1992,BEL,3,387
1996,GRE,8,89
1996,BDI,1,1
1996,JAM,16,49
1996,TUR,6,59
1996,BAH,5,10
1996,BEL,6,393
1996,SLO,2,8
1996,UZB,2,2
1996,FRA,51,1119
1996,NZL,9,140
1996,HUN,43,933
1996,JPN,43,516
1996,PRK,5,37
1996,BLR,23,23
1996,PUR,1,6
1996,CAN,51,510
1996,USA,260,3508
1996,BUL,21,296
1996,ITA,71,1019
1996,POL,21,443
1996,ROU,38,517
1996,IND,1,173
1996,GEO,2,2
1996,GER,124,842
1996,IRI,3,36
1996,GBR,26,1405
1996,BRA,64,209
1996,AUT,3,131
1996,INA,6,15
1996,RSA,5,81
1996,AZE,1,1
1996,PHI,1,9
1996,UKR,34,34
1996,UGA,1,6
1996,ISR,1,3
1996,POR,3,24
1996,RUS,115,115
1996,IRL,4,20
1996,KAZ,11,11
1996,HKG,1,1
1996,ESP,67,236
1996,MAR,2,11
1996,ALG,3,7
1996,LAT,1,7
1996,TRI,2,12
1996,ECU,1,1
1996,MDA,3,3
1996,ARM,2,2
1996,YUG,26,409
1996,DEN,24,419
1996,NGR,26,44
1996,LTU,12,25
1996,FIN,4,439
1996,TPE,1,24
1996,SWE,31,970
1996,MAS,3,5
1996,SYR,1,2
1996,NED,73,565
1996,CUB,57,218
1996,ARG,20,121
1996,MEX,1,66
1996,CRO,29,44
1996,CZE,13,13
1996,ZAM,1,2
1996,MGL,1,14
1996,THA,2,6
1996,KEN,8,53
1996,ETH,3,16
1996,AUS,132,586
1996,NAM,2,4
1996,SUI,11,344
1996,NOR,25,464
1996,TUN,1,6
1996,CRC,1,2
1996,CHN,110,322
1996,KOR,66,263
1996,MOZ,1,1
1996,SVK,3,3
1996,TGA,1,1
2000,CRO,10,54
2000,BRA,48,257
2000,GER,119,961
2000,THA,3,9
2000,GRE,18,107
2000,BLR,22,45
2000,QAT,1,2
2000,CUB,69,287
2000,CRC,2,4
2000,FIN,5,444
2000,GBR,55,1460
2000,CZE,9,22
2000,CHI,18,28
2000,ETH,8,24
2000,CAN,31,541
2000,SRI,1,2
2000,EST,3,31
2000,SLO,3,11
2000,SUI,14,358
2000,CHN,79,401
2000,FRA,66,1185
2000,TUR,5,64
2000,ROU,46,563
2000,RUS,188,303
2000,ESP,43,279
2000,BUL,13,309
2000,TRI,2,14
2000,RSA,5,86
2000,CMR,18,20
2000,DEN,25,444
2000,TPE,5,29
2000,UKR,35,69
2000,SWE,32,1002
2000,GEO,6,8
2000,SVK,6,9
2000,BEL,7,400
2000,COL,1,7
2000,URU,1,76
2000,LTU,17,42
2000,NGR,8,52
2000,AZE,3,4
2000,IRL,1,21
2000,ISL,1,3
2000,ISR,1,4
2000,AUT,4,135
2000,ITA,65,1084
2000,ARM,1,3
2000,LAT,3,10
2000,KUW,1,1
2000,KSA,2,2
2000,USA,248,3756
2000,JAM,23,72
2000,VIE,1,1
2000,KOR,73,336
2000,UZB,4,6
2000,KGZ,1,1
2000,NZL,4,144
2000,JPN,43,559
2000,NOR,44,508
2000,AUS,183,769
2000,KAZ,7,18
2000,IRI,4,40
2000,ARG,20,141
2000,KEN,7,60
2000,MAR,5,16
2000,MEX,6,72
2000,PRK,4,41
2000,MOZ,1,2
2000,MDA,2,5
2000,BAH,6,16
2000,HUN,53,986
2000,MKD,1,1
2000,ALG,5,12
2000,YUG,26,435
2000,INA,8,23
2000,NED,79,644
2000,POL,24,467
2000,IND,1,174
2000,BAR,1,1
2000,POR,2,26
2004,KOR,52,388
2004,ESP,27,306
2004,CMR,1,21
2004,SUI,7,365
2004,VEN,2,10
2004,NOR,7,515
2004,ZIM,3,19
2004,AUS,157,926
2004,MGL,1,15
2004,EST,3,34
2004,MEX,4,76
2004,SVK,10,19
2004,ERI,1,1
2004,THA,8,17
2004,SWE,12,1014
2004,NED,76,720
2004,ARG,47,188
2004,SYR,1,3
2004,LTU,3,45
2004,KEN,7,67
2004,DEN,29,473
2004,CRO,20,74
2004,TPE,9,38
2004,DOM,1,2
2004,CUB,61,348
2004,LAT,4,14
2004,CHN,94,495
2004,EGY,5,23
2004,CZE,12,34
2004,TRI,1,15
2004,MAR,3,19
2004,NGR,8,60
2004,KAZ,8,26
2004,ETH,7,31
2004,BUL,17,326
2004,RUS,192,495
2004,ISR,2,6
2004,AUT,8,143
2004,AZE,5,9
2004,IRI,6,46
2004,GBR,57,1517
2004,UKR,48,117
2004,IND,1,175
2004,GEO,4,12
2004,BRA,40,297
2004,ROU,39,602
2004,POL,12,479
2004,BAH,2,18
2004,GER,149,1110
2004,INA,5,28
2004,POR,3,29
2004,HUN,40,1026
2004,GRE,31,138
2004,BLR,17,62
2004,PRK,5,46
2004,COL,2,9
2004,BEL,3,403
2004,UAE,1,1
2004,SCG,14,14
2004,RSA,10,96
2004,SLO,5,16
2004,JPN,94,653
2004,JAM,13,85
2004,CAN,17,558
2004,HKG,2,3
2004,ITA,102,1186
2004,UZB,5,11
2004,FIN,2,446
2004,NZL,6,150
2004,PAR,17,17
2004,FRA,53,1238
2004,CHI,4,32
2004,TUR,10,74
2004,USA,264,4020
2008,ALG,2,14
2008,THA,4,21
2008,CAN,34,592
2008,ARM,6,9
2008,BLR,30,92
2008,TUN,1,7
2008,CHI,1,33
2008,BEL,5,408
2008,ZIM,4,23
2008,UZB,6,17
2008,BAH,5,23
2008,VEN,1,11
2008,TOG,1,1
2008,CHN,184,679
2008,TPE,4,42
2008,VIE,1,2
2008,AUS,149,1075
2008,AUT,3,146
2008,ARG,51,239
2008,TJK,2,2
2008,TRI,5,20
2008,BUL,5,331
2008,CMR,1,22
2008,UKR,31,148
2008,BRA,75,372
2008,USA,315,4335
2008,TUR,8,82
2008,AZE,7,16
2008,MEX,4,80
2008,FIN,5,451
2008,AFG,1,1
2008,SRB,15,15
2008,KGZ,2,3
2008,IND,3,178
2008,SIN,3,4
2008,FRA,76,1314
2008,NOR,22,537
2008,RUS,143,638
2008,KEN,14,81
2008,KAZ,13,39
2008,RSA,1,97
2008,GBR,77,1594
2008,GEO,6,18
2008,JPN,51,704
2008,NZL,14,164
2008,ROU,22,624
2008,GER,101,1211
2008,GRE,7,145
2008,JAM,17,102
2008,ITA,42,1228
2008,PAN,1,3
2008,COL,2,11
2008,ISR,1,7
2008,ISL,14,17
2008,IRL,3,24
2008,PRK,6,52
2008,HUN,27,1053
2008,IRI,2,48
2008,POR,2,31
2008,INA,7,35
2008,KOR,78,466
2008,SUD,1,1
2008,SLO,5,21
2008,POL,20,499
2008,MAR,2,21
2008,CZE,7,41
2008,DOM,2,4
2008,ETH,7,38
2008,SWE,7,1021
2008,MDA,1,6
2008,ECU,1,2
2008,EGY,1,24
2008,LTU,5,50
2008,MRI,1,1
2008,NED,62,782
2008,MAS,1,6
2008,SVK,10,29
2008,EST,3,37
2008,CRO,5,79
2008,LAT,3,17
2008,NGR,24,84
2008,MGL,4,19
2008,DEN,18,491
2008,CUB,47,395
2008,ESP,71,377
2008,SUI,11,376
2012,AFG,1,2
2012,IRI,13,61
2012,MAS,2,8
2012,IRL,6,30
2012,MGL,5,24
2012,IND,6,184
2012,AZE,10,26
2012,ITA,68,1296
2012,MNE,14,14
2012,KUW,1,2
2012,MAR,1,22
2012,ARM,2,11
2012,KSA,4,6
2012,KOR,63,529
2012,VEN,1,12
2012,ARG,20,259
2012,LAT,3,20
2012,KEN,12,93
2012,JAM,25,127
2012,NED,69,851
2012,KAZ,10,49
2012,AUS,114,1189
2012,UZB,3,20
2012,LTU,5,55
2012,JPN,84,788
2012,NZL,26,190
2012,USA,250,4585
2012,NOR,17,554
2012,ALG,1,15
2012,COL,8,19
2012,INA,3,38
2012,SRB,16,31
2012,FIN,5,456
2012,MEX,26,106
2012,CAN,57,649
2012,ETH,7,45
2012,EST,2,39
2012,TUN,3,10
2012,ESP,65,442
2012,SUI,4,380
2012,TTO,10,10
2012,SVK,5,34
2012,BUL,2,333
2012,EGY,4,28
2012,CHN,128,807
2012,TPE,2,44
2012,DEN,16,507
2012,CZE,15,56
2012,SWE,23,1044
2012,CMR,1,23
2012,CYP,1,1
2012,CUB,15,410
2012,TJK,1,3
2012,THA,4,25
2012,CRO,35,114
2012,DOM,2,6
2012,POL,12,511
2012,SLO,5,26
2012,TUR,4,86
2012,BAH,4,27
2012,HUN,26,1079
2012,POR,2,33
2012,PRK,6,58
2012,HKG,1,4
2012,PUR,2,8
2012,BEL,3,411
2012,GUA,1,1
2012,GRN,1,1
2012,GRE,3,148
2012,BLR,21,113
2012,SGP,4,4
2012,BOT,1,1
2012,ROU,16,640
2012,BRA,59,431
2012,BRN,1,1
2012,GEO,7,25
2012,UKR,25,173
2012,GBR,126,1720
2012,UGA,1,7
2012,RSA,9,106
2012,GAB,1,1
2012,FRA,82,1396
2012,RUS,130,768
2012,GER,94,1305
2012,QAT,2,4
